C,time,w,Z,J,J_up,J_down
148.719977718862,2020-06-20T07:00:39.173Z,-0.0719364515053883,downdraft,2,"(-1.78,119]","(-1.57,119]"
140.911982363248,2020-06-20T07:00:39.372Z,0.398063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
148.329980160268,2020-06-20T07:00:39.573Z,0.188063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
139.024978133708,2020-06-20T07:00:39.773Z,-0.0819364515053883,downdraft,2,"(-1.78,119]","(-1.57,119]"
132.657978634386,2020-06-20T07:00:39.973Z,0.338063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
126.611965197135,2020-06-20T07:00:40.172Z,0.768063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
133.827978319676,2020-06-20T07:00:40.372Z,0.648063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
116.587965521352,2020-06-20T07:00:40.572Z,1.25806354849461,updraft,2,"(-1.78,119]","(-1.57,119]"
141.0979876943,2020-06-20T07:00:40.773Z,0.258063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
145.973978920489,2020-06-20T07:00:40.974Z,0.598063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
134.376969691321,2020-06-20T07:00:41.173Z,1.04806354849461,updraft,2,"(-1.78,119]","(-1.57,119]"
126.181981481102,2020-06-20T07:00:41.373Z,1.10806354849461,updraft,2,"(-1.78,119]","(-1.57,119]"
127.446978467493,2020-06-20T07:00:41.573Z,0.258063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
121.895981161626,2020-06-20T07:00:41.775Z,-0.0919364515053883,downdraft,2,"(-1.78,119]","(-1.57,119]"
113.168978801279,2020-06-20T07:00:41.973Z,0.248063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
108.540984511395,2020-06-20T07:00:42.173Z,0.438063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
104.479982821013,2020-06-20T07:00:42.372Z,-0.101936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
92.3439782052337,2020-06-20T07:00:42.573Z,0.368063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
96.8519781098657,2020-06-20T07:00:42.773Z,-0.411936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
91.7599780144992,2020-06-20T07:00:42.973Z,0.228063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
94.80397174887,2020-06-20T07:00:43.176Z,-0.101936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
99.0999715676717,2020-06-20T07:00:43.373Z,-0.0319364515053883,downdraft,2,"(-1.78,119]","(-1.57,119]"
104.559980398686,2020-06-20T07:00:43.573Z,0.978063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
95.6709560084437,2020-06-20T07:00:43.775Z,0.708063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
161.867999376824,2020-06-20T07:00:43.973Z,0.568063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
214.019977718863,2020-06-20T07:00:44.173Z,0.0180635484946117,updraft,2,"(-1.78,119]","(-1.57,119]"
